song_type,album_name,song_name,artist_name,track_code,isrc
드라마,수지맞은 우리 OST BGM SPECIAL,Solution,최인희&오혜주,A1147227T001,KSB012324080
드라마,수지맞은 우리 OST BGM SPECIAL,At Home,임현지,A1147227T002,KSB012324081
드라마,수지맞은 우리 OST BGM SPECIAL,Let's Walk Together,오혜주,A1147227T003,KSB012324082
드라마,수지맞은 우리 OST BGM SPECIAL,Oops,이소리,A1147227T004,KSB012324083
드라마,수지맞은 우리 OST BGM SPECIAL,썸,김하영,A1147227T005,KSB012324084
드라마,수지맞은 우리 OST BGM SPECIAL,Someday,이소리,A1147227T006,KSB012324085
드라마,수지맞은 우리 OST BGM SPECIAL,Move Move,임현지,A1147227T007,KSB012324086
드라마,수지맞은 우리 OST BGM SPECIAL,Uh,최인희&이소리,A1147227T008,KSB012324087
드라마,수지맞은 우리 OST BGM SPECIAL,그런 사이 아니에요,김하영,A1147227T009,KSB012324088
드라마,수지맞은 우리 OST BGM SPECIAL,Hey Man,김현주,A1147227T010,KSB012324089
